GA 203
P.č.;U[V];I[mA]
1;-4,53;-0,004
2;-4,225;-0,001
3;-3,917;-0,004
4;-3,455;-0,001
5;-3,162;-0,004
6;-2,852;-0,001
7;-2,505;-0,004
8;-2,134;-0,004
9;-1,783;-0,001
10;-1,36;-0,004
11;-0,994;0,000
12;-0,713;0,000
13;-0,366;-0,001
14;-0,078;-0,002
15;-0,022;-0,001
16;0,000;0,000
17;0,024;0,022
18;0,024;0,024
19;0,115;0,132
20;0,242;0,508
21;0,352;0,908
22;0,410;1,380
23;0,488;1,895
24;0,486;2,357
25;0,596;2,862
26;0,630;3,382
27;0,622;3,927
28;0,701;4,464
29;0,772;4,974
30;0,796;5,509
31;0,860;6,039
32;0,908;6,608
33;0,947;7,133
34;0,974;7,663
35;1,031;8,227
36;1,074;8,759
