LED
P.č.;U[V];I[mA]
1;-4,557;-0,002
2;-4,264;0,000
3;-3,932;-0,002
4;-3,446;0,000
5;-3,223;-0,002
6;-2,852;-0,002
7;-2,505;0,000
8;-2,093;0,000
9;-1,783;0,000
10;-1,353;0,000
11;-0,982;-0,002
12;-0,674;-0,002
13;-0,325;-0,002
14;-0,051;0,000
15;-0,078;0,000
16;0,000;0,000
17;0,088;0,024
18;0,078;0,002
19;0,103;0,002
20;0,364;0,002
21;0,574;0,002
22;0,735;0,010
23;0,987;0,002
24;1,243;0,010
25;1,360;0,049
26;1,607;0,315
27;1,651;0,833
28;1,663;1,407
29;1,658;2,032
30;1,685;2,628
31;1,739;3,258
32;1,739;3,912
33;1,741;4,571
34;1,763;5,209
35;1,753;5,846
36;1,766;6,481
